cell,rawvalue,finPhase
5441,11,367
5442,10.75,367
5443,10.75,367
5537,11,367
5538,10.9,367
5539,10.9,367
5540,11.35,367
5547,4.4,367
5548,6.15,367
5630,11,367
5631,10.9,367
5632,10.9,367
5633,10.8,367
5634,10.75,367
5635,10.25,367
5641,5.25,367
5723,11.05,367
5724,10.9,367
5725,10.85,367
5726,10.8,367
5727,10.65,367
5728,9.65,367
5729,9,367
5730,8.65,367
5731,6.45,367
5732,5.25,367
5733,4.949999999999999,367
5734,7.4,367
5815,10.9,367
5816,10.8,367
5817,10.75,367
5818,10.7,367
5819,10.4,367
5820,9.75,367
5821,8.75,367
5822,6.699999999999999,367
5823,6.5,367
5824,6,367
5825,6.25,367
5826,10.55,367
5904,10.75,367
5905,10.65,367
5906,10.55,367
5907,10.5,367
5908,10.4,367
5909,9.85,367
5910,8.4,367
5911,6.4,367
5912,5.15,367
5913,6.8500000000000005,367
5994,10.95,367
5995,10.55,367
5996,10.45,367
5997,10.5,367
5998,10.4,367
5999,10.4,367
6000,10.1,367
6001,6.65,367
6002,6.199999999999999,367
6003,5.6,367
6004,7.3,367
6084,10.9,367
6085,10.45,367
6086,10.4,367
6087,10.4,367
6088,10.3,367
6089,10.6,367
6090,9.5,367
6091,6.550000000000001,367
6092,6.3500000000000005,367
6093,6.5,367
6094,6.550000000000001,367
6171,10.55,367
6172,10.4,367
6173,10.4,367
6174,10.55,367
6175,10.7,367
6176,9.5,367
6177,8,367
6178,6.3500000000000005,367
6179,7.15,367
6180,6.6000000000000005,367
6255,10.6,367
6256,10.8,367
6257,10.9,367
6258,10.85,367
6260,8.35,367
6261,7.7,367
6262,8.2,367
6263,10.35,367
6340,8.5,367
6341,10.15,367
6420,10.4,367
6421,9.8,367
305,7.85,367
306,8.2,367
307,7.95,367
336,9.05,367
337,8.95,367
338,8.85,367
339,8.75,367
340,8.8,367
341,8.25,367
342,7.95,367
343,7.95,367
344,7.85,367
379,9.15,367
380,9.1,367
381,9.05,367
382,9,367
383,8.9,367
384,8.4,367
385,8.3,367
386,8.2,367
387,8.1,367
388,7.85,367
